396,report,(v) (n) 報告
397,writer,作家
398,driver,司機
399,baker,烘焙師
400,bakery,麵包店
401,cashier,收銀員
402,actor,演員(男)
403,act,(v) 演 動作
404,artist,藝術家
405,dentist,牙醫
406,scientist,科學家
407,musician,音樂家
408,cook,廚師 / (v) 烹飪
409,pilot,機長
410,firefighter,消防隊員
411,librarian,圖書館員
412,salesperson,業務員 店員
413,sale,銷售 / 特價
414,vet,獸醫
415,engineer,工程師
416,housewife,家管 家庭主婦
417,police officer,警官
418,player,運動員 / 演奏者
419,king,國王
420,queen,皇后
421,prince,王子
422,princess,公主
423,wild,野生的
424,feed,(v) 餵食
425,animal,動物
426,insect,昆蟲
427,monster,怪獸
428,dinosaur,恐龍
429,pet,寵物
430,cage,籠子
431,claw,爪
432,tail,尾巴
433,feather,羽毛
434,wing,翅膀
435,ant,螞蟻
436,bee,蜜蜂
437,beetle,甲蟲
438,bug,臭蟲 電腦病毒
439,caterpillar,毛毛蟲
440,butterfly,蝴蝶
441,fly,蒼蠅 (v) 飛
442,spider,蜘蛛
443,ladybug,瓢蟲
444,bat,蝙蝠 / 球棒
445,snail,蝸牛
446,snake,蛇
447,lizard,蜥蜴
448,frog,青蛙
449,tiger,老虎
450,lion,獅子
451,elephant,大象
452,bear,熊
453,bird,鳥
454,ostrich,鴕鳥
455,parrot,鸚鵡
456,hen,母雞
457,duck,鴨子
458,goose,鵝
459,turkey,火雞
460,penguin,企鵝
461,marine animal,海洋動物
462,fish,魚(單複數同型)
463,squid,魷魚 烏賊
464,octopus,章魚
465,crab,螃蟹
466,turtle,海龜
467,seal,海豹
468,eel,鰻魚
469,shark,鯊魚
470,whale,鯨魚
471,dolphin,海豚
472,panda,貓熊
473,koala,無尾熊
474,monkey,猴子
475,lamb,小羊 羔羊
476,sheep,綿羊(單複數同型)
477,goat,山羊
478,cow,母牛
479,rabbit,兔子
480,kangaroo,袋鼠
481,fox,狐狸
482,deer,鹿
483,zebra,斑馬
484,camel,駱駝
485,giraffe,長頸鹿
486,horse,馬
487,donkey,驢子
488,wolf,狼
489,mouse,老鼠 電腦滑鼠
490,food,食物
491,seafood,海鮮
492,fresh,(adj) 新鮮的
493,bake,(v) 烘焙
